,x1,x2,x3
0,23459,xyz,2022-01-31
1,23459,xyz,2022-01-31
2,23459,xyz,2022-01-31
3,23459,xyz,2022-01-31
4,23459,xyz,2022-01-31
5,23459,xyz,2022-01-31
6,23459,xyz,2022-01-31
7,23459,xyz,2022-01-31
8,23459,xyz,2022-01-31
9,23459,xyz,2022-01-31
10,23459,xyz,2022-01-31
11,23459,xyz,2022-01-31
12,23459,xyz,2022-01-31
13,23459,xyz,2022-01-31
14,23459,xyz,2022-01-31
15,23459,xyz,2022-01-31
16,23459,xyz,2022-01-31
17,23459,xyz,2022-01-31
18,23459,xyz,2022-01-31
19,23459,xyz,2022-01-31
20,23459,xyz,2022-01-31
21,23459,xyz,2022-01-31
22,23459,xyz,2022-01-31
23,23459,xyz,2022-01-31
24,23459,xyz,2022-01-31
25,23459,xyz,2022-01-31
26,23459,xyz,2022-01-31
27,345,sdf,2022-01-31
28,2349,sdsf,2022-01-31
29,68,sdf,2022-01-31
30,6345,ui,2022-01-31
31,45,ghhj,2022-01-31
