"index","Name","LAID"
"0","English","0"
"1","Marathi","1"
"2","Hindi","2"
"3","Cantonese","3"
"4","Telugu","4"
"5","Mandarin","5"
"6","Tamil","6"
"7","Punjabi","7"
"8","Danish","8"
"9","Korean","9"
"10","Spanish","10"
"11","Arabic","11"
"12","Urdu","12"
"13","Tibetan","13"
"14","Dutch","14"
"15","Kannada","15"
"16","Japanese","16"
"17","Bengali","17"
"18","Sinhalese","18"
"19","Malayalam","19"
"20","French","20"
"21","Russian","21"
"22","Gujarati","22"
"23","Sanskrit","23"
"24","Himachali","24"
"25","Zulu","25"
"26","German","26"
"27","Persian","27"
"28","Italian","28"
"29","Bhojpuri","29"
"30","Swiss German","30"
"31","Georgian","31"
